ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
95001,Zvi Pinkas,M,41,NA,NA,Israel,ISR,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
95001,Zvi Pinkas,M,41,NA,NA,Israel,ISR,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
95002,Ben Pinkelman,M,22,193,100,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,NA
95003,"Clarence Elmer ""Bud"" Pinkston",M,20,NA,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Springboard,Silver
95003,"Clarence Elmer ""Bud"" Pinkston",M,20,NA,NA,United States,USA,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Gold
95003,"Clarence Elmer ""Bud"" Pinkston",M,24,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Springboard,Bronze
95003,"Clarence Elmer ""Bud"" Pinkston",M,24,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Platform,Bronze
95003,"Clarence Elmer ""Bud"" Pinkston",M,24,NA,NA,United States,USA,1924 Summer,1924,Summer,Paris,Diving,Diving Men's Plain High,NA
95004,Owen Clifford Pinnell,M,41,NA,NA,New Zealand-2,NZL,1988 Winter,1988,Winter,Calgary,Bobsleigh,Bobsleigh Men's Two,NA
95005,A. O. Pinner,M,NA,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,NA
95006,George Christopher Pinner,M,29,192,92,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,NA
95007,"Michael John ""Mike"" Pinner",M,26,182,76,Great Britain,GBR,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,NA
95008,Broome Eric Pinniger,M,25,180,NA,India,IND,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Gold
95008,Broome Eric Pinniger,M,29,180,NA,India,IND,1932 Summer,1932,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
95009,"Christopher Lyndon ""Chris"" Pinnock",M,25,185,83,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
95010,Christina Pinnow,F,25,176,70,Germany,GER,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's Two Person Dinghy,NA
95011,Ilaria Pino,F,21,170,65,Italy,ITA,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,NA
95012,Jimmy Jos Pino Zarza,M,22,180,80,Colombia,COL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
95013,Pedro Miguel Alves Pinotes,M,22,185,70,Angola,ANG,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 400 metres Individual Medley,NA
95013,Pedro Miguel Alves Pinotes,M,26,185,70,Angola,ANG,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Individual Medley,NA
95014,Marco Pinotti,M,36,177,67,Italy,ITA,2012 Summer,2012,Summer,London,Cycling,"Cycling Men's Road Race, Individual",NA
95014,Marco Pinotti,M,36,177,67,Italy,ITA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Individual Time Trial,NA
95015,Antoine Pinoy,M,NA,NA,NA,France,FRA,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,NA
95016,Matthew Clive Pinsent,M,21,196,108,Great Britain,GBR,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Pairs,Gold
95016,Matthew Clive Pinsent,M,25,196,108,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Pairs,Gold
95016,Matthew Clive Pinsent,M,29,196,108,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
95016,Matthew Clive Pinsent,M,33,196,108,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Gold
